date,version,prev_date,prev_version,change,name,diff
2025-04-30,0.2.93,2025-04-18,0.2.74,removed,ReadNotebook,versions/2025-04-30_0.2.93/diff-from-2025-04-18_0.2.74.md
2025-04-30,0.2.93,2025-04-18,0.2.74,removed,Replace,versions/2025-04-30_0.2.93/diff-from-2025-04-18_0.2.74.md
2025-04-30,0.2.93,2025-04-18,0.2.74,removed,View,versions/2025-04-30_0.2.93/diff-from-2025-04-18_0.2.74.md
2025-04-30,0.2.93,2025-04-18,0.2.74,removed,WebFetchTool,versions/2025-04-30_0.2.93/diff-from-2025-04-18_0.2.74.md
2025-04-30,0.2.93,2025-04-18,0.2.74,removed,dispatch_agent,versions/2025-04-30_0.2.93/diff-from-2025-04-18_0.2.74.md
2025-04-30,0.2.93,2025-04-18,0.2.74,modified,Bash,versions/2025-04-30_0.2.93/diff-from-2025-04-18_0.2.74.md
2025-04-30,0.2.93,2025-04-18,0.2.74,modified,Edit,versions/2025-04-30_0.2.93/diff-from-2025-04-18_0.2.74.md
2025-05-01,0.2.96,2025-04-30,0.2.93,modified,Batch,versions/2025-05-01_0.2.96/diff-from-2025-04-30_0.2.93.md
2025-05-01,0.2.96,2025-04-30,0.2.93,modified,WebFetch,versions/2025-05-01_0.2.96/diff-from-2025-04-30_0.2.93.md
2025-05-22,1.0.0,2025-05-01,0.2.98,added,MultiEdit,versions/2025-05-22_1.0.0/diff-from-2025-05-01_0.2.98.md
2025-05-22,1.0.0,2025-05-01,0.2.98,added,WebSearch,versions/2025-05-22_1.0.0/diff-from-2025-05-01_0.2.98.md
2025-05-22,1.0.0,2025-05-01,0.2.98,removed,Batch,versions/2025-05-22_1.0.0/diff-from-2025-05-01_0.2.98.md
2025-05-22,1.0.0,2025-05-01,0.2.98,modified,Bash,versions/2025-05-22_1.0.0/diff-from-2025-05-01_0.2.98.md
2025-05-22,1.0.0,2025-05-01,0.2.98,modified,Edit,versions/2025-05-22_1.0.0/diff-from-2025-05-01_0.2.98.md
2025-05-22,1.0.0,2025-05-01,0.2.98,modified,Glob,versions/2025-05-22_1.0.0/diff-from-2025-05-01_0.2.98.md
2025-05-22,1.0.0,2025-05-01,0.2.98,modified,Grep,versions/2025-05-22_1.0.0/diff-from-2025-05-01_0.2.98.md
2025-05-22,1.0.0,2025-05-01,0.2.98,modified,Read,versions/2025-05-22_1.0.0/diff-from-2025-05-01_0.2.98.md
2025-05-22,1.0.0,2025-05-01,0.2.98,modified,Task,versions/2025-05-22_1.0.0/diff-from-2025-05-01_0.2.98.md
2025-05-22,1.0.0,2025-05-01,0.2.98,modified,TodoWrite,versions/2025-05-22_1.0.0/diff-from-2025-05-01_0.2.98.md
2025-05-22,1.0.0,2025-05-01,0.2.98,modified,Write,versions/2025-05-22_1.0.0/diff-from-2025-05-01_0.2.98.md
2025-05-29,1.0.6,2025-05-22,1.0.1,modified,Bash,versions/2025-05-29_1.0.6/diff-from-2025-05-22_1.0.1.md
2025-05-29,1.0.6,2025-05-22,1.0.1,modified,Edit,versions/2025-05-29_1.0.6/diff-from-2025-05-22_1.0.1.md
2025-05-30,1.0.7,2025-05-29,1.0.6,modified,Bash,versions/2025-05-30_1.0.7/diff-from-2025-05-29_1.0.6.md
2025-05-30,1.0.7,2025-05-29,1.0.6,modified,Edit,versions/2025-05-30_1.0.7/diff-from-2025-05-29_1.0.6.md
2025-05-30,1.0.7,2025-05-29,1.0.6,modified,MultiEdit,versions/2025-05-30_1.0.7/diff-from-2025-05-29_1.0.6.md
2025-05-30,1.0.7,2025-05-29,1.0.6,modified,Write,versions/2025-05-30_1.0.7/diff-from-2025-05-29_1.0.6.md
2025-06-02,1.0.8,2025-05-30,1.0.7,modified,Edit,versions/2025-06-02_1.0.8/diff-from-2025-05-30_1.0.7.md
2025-06-02,1.0.8,2025-05-30,1.0.7,modified,MultiEdit,versions/2025-06-02_1.0.8/diff-from-2025-05-30_1.0.7.md
