date,version,models,tool_count,deferred_tool_count,mcp_advertised,mcp_deferred,system_prompt_chars,user_prompt_chars,skill_count,reminder_count
2026-02-25,2.1.56,claude-opus-4-6,8,0,0,0,18738,,,2
2026-02-25,2.1.58,claude-opus-4-6,8,0,0,0,18738,,,2
2026-02-25,2.1.59,claude-opus-4-6,8,0,0,0,18738,,,2
2026-02-26,2.1.61,claude-opus-4-6,24,0,0,0,18738,,,2
2026-02-27,2.1.62,claude-opus-4-6,24,0,0,0,18738,,,2
2026-02-28,2.1.63,claude-opus-4-6,24,0,0,0,18899,,,2
2026-03-04,2.1.66,claude-opus-4-6,24,0,0,0,18899,,,2
2026-03-04,2.1.68,claude-opus-4-6,24,0,0,0,18899,,,2
2026-03-04,2.1.69,claude-opus-4-6,1,23,0,0,19161,,,2
2026-03-06,2.1.70,claude-opus-4-6,1,23,0,0,19161,,,2
2026-03-06,2.1.71,claude-opus-4-6,1,26,0,0,19161,,,2
2026-03-09,2.1.72,claude-opus-4-6,1,27,0,0,19164,,,2
2026-03-11,2.1.73,claude-opus-4-6,1,27,0,0,19164,,,2
2026-03-11,2.1.74,claude-opus-4-6,1,27,0,0,19284,,,2
2026-03-13,2.1.75,claude-opus-4-6,1,27,0,0,19306,,,2
2026-03-14,2.1.76,claude-opus-4-6,1,27,0,0,19306,,,2
2026-03-16,2.1.77,claude-opus-4-6,1,27,0,0,19306,,,2
2026-03-17,2.1.78,claude-opus-4-6,1,27,0,0,19516,,,2
2026-03-18,2.1.79,claude-opus-4-6,1,25,0,0,15996,,,2
2026-03-19,2.1.80,claude-opus-4-6,1,25,0,0,15996,,,2
2026-03-20,2.1.81,claude-opus-4-6,1,26,0,0,15996,,,2
2026-03-24,2.1.83,claude-opus-4-6,1,28,0,0,30064,,,2
2026-03-25,2.1.84,claude-opus-4-6,9,20,0,0,29147,,,2
2026-03-26,2.1.85,claude-opus-4-6,9,20,0,0,28767,,,2
2026-03-27,2.1.86,claude-opus-4-6,9,20,0,0,29226,,,2
2026-03-29,2.1.87,claude-opus-4-6,9,20,0,0,29226,,,2
2026-03-31,2.1.89,claude-opus-4-6,9,20,0,0,29258,,,2
2026-04-01,2.1.90,claude-opus-4-6,9,20,0,0,29258,,,2
2026-04-02,2.1.91,claude-opus-4-6,9,20,0,0,26673,,,3
2026-04-04,2.1.92,claude-opus-4-6,9,20,0,0,26673,,,3
2026-04-07,2.1.94,claude-opus-4-6,9,20,0,0,26637,,,3
2026-04-08,2.1.96,claude-opus-4-6,9,20,0,0,26637,,,3
2026-04-08,2.1.97,claude-opus-4-6,9,20,0,0,26641,,,3
2026-04-09,2.1.98,claude-opus-4-6,9,21,0,0,26641,,,3
2026-04-10,2.1.101,claude-opus-4-6,10,21,0,0,26300,,,3
2026-04-13,2.1.105,claude-haiku-4-5-20251001|claude-opus-4-6,10,21,0,0,26300,,,3
2026-04-14,2.1.107,claude-haiku-4-5-20251001|claude-opus-4-6,10,21,0,0,26300,,,3
2026-04-14,2.1.108,claude-opus-4-6,10,21,0,0,26300,,,3
2026-04-15,2.1.109,claude-opus-4-6,10,21,0,0,26300,,,3
2026-04-15,2.1.110,claude-opus-4-6,10,22,0,0,26300,,,4
2026-04-16,2.1.111,claude-opus-4-7,10,22,0,0,26401,,,4
2026-04-16,2.1.112,claude-opus-4-7,10,22,0,0,26401,,,4
2026-04-17,2.1.113,claude-opus-4-7,10,22,0,0,26401,,,4
2026-04-17,2.1.114,claude-opus-4-7,10,22,0,0,26401,,,4
2026-04-20,2.1.116,claude-opus-4-7,10,22,0,0,26269,,,4
2026-04-21,2.1.117,claude-opus-4-7,10,22,0,0,26699,,,4
2026-04-22,2.1.118,claude-opus-4-7,10,22,0,0,26699,,,4
2026-04-23,2.1.119,claude-opus-4-7,10,22,0,0,26699,,,4
2026-04-24,2.1.120,claude-opus-4-7,10,22,0,0,26719,,,4
2026-04-27,2.1.121,claude-opus-4-7,10,22,0,0,26719,,,4
2026-04-28,2.1.122,claude-opus-4-7,10,22,0,0,26719,,,4
2026-04-29,2.1.123,claude-opus-4-7,10,22,0,0,26719,,,4
2026-04-30,2.1.126,claude-opus-4-7,10,22,0,0,26719,,,4
