date,version,prev_date,prev_version,kind,change,name,diff
2026-01-27,2.1.20,2026-01-23,2.1.19,flags,added,--debug-file,versions/2026-01-27_2.1.20/diff-from-2026-01-23_2.1.19.md
2026-01-30,2.1.27,2026-01-29,2.1.25,flags,added,--from-pr,versions/2026-01-30_2.1.27/diff-from-2026-01-29_2.1.25.md
2026-02-05,2.1.32,2026-02-04,2.1.31,commands,added,update|upgrade,versions/2026-02-05_2.1.32/diff-from-2026-02-04_2.1.31.md
2026-02-05,2.1.32,2026-02-04,2.1.31,commands,removed,update,versions/2026-02-05_2.1.32/diff-from-2026-02-04_2.1.31.md
2026-02-10,2.1.38,2026-02-07,2.1.37,flags,added,--effort,versions/2026-02-10_2.1.38/diff-from-2026-02-07_2.1.37.md
2026-02-13,2.1.41,2026-02-10,2.1.39,commands,added,auth,versions/2026-02-13_2.1.41/diff-from-2026-02-10_2.1.39.md
2026-02-19,2.1.49,2026-02-18,2.1.47,flags,added,--tmux,versions/2026-02-19_2.1.49/diff-from-2026-02-18_2.1.47.md
2026-02-19,2.1.49,2026-02-18,2.1.47,flags,added,-w,versions/2026-02-19_2.1.49/diff-from-2026-02-18_2.1.47.md
2026-02-20,2.1.50,2026-02-19,2.1.49,commands,added,agents,versions/2026-02-20_2.1.50/diff-from-2026-02-19_2.1.49.md
2026-03-04,2.1.69,2026-03-04,2.1.68,commands,added,open,versions/2026-03-04_2.1.69/diff-from-2026-03-04_2.1.68.md
2026-03-04,2.1.69,2026-03-04,2.1.68,commands,added,server,versions/2026-03-04_2.1.69/diff-from-2026-03-04_2.1.68.md
2026-03-06,2.1.70,2026-03-04,2.1.69,commands,removed,open,versions/2026-03-06_2.1.70/diff-from-2026-03-04_2.1.69.md
2026-03-06,2.1.70,2026-03-04,2.1.69,commands,removed,server,versions/2026-03-06_2.1.70/diff-from-2026-03-04_2.1.69.md
2026-03-09,2.1.72,2026-03-06,2.1.71,flags,added,--brief,versions/2026-03-09_2.1.72/diff-from-2026-03-06_2.1.71.md
2026-03-09,2.1.72,2026-03-06,2.1.71,commands,added,plugin|plugins,versions/2026-03-09_2.1.72/diff-from-2026-03-06_2.1.71.md
2026-03-09,2.1.72,2026-03-06,2.1.71,commands,removed,plugin,versions/2026-03-09_2.1.72/diff-from-2026-03-06_2.1.71.md
2026-03-11,2.1.73,2026-03-09,2.1.72,commands,added,auto-mode,versions/2026-03-11_2.1.73/diff-from-2026-03-09_2.1.72.md
2026-03-13,2.1.75,2026-03-11,2.1.74,commands,removed,auto-mode,versions/2026-03-13_2.1.75/diff-from-2026-03-11_2.1.74.md
2026-03-14,2.1.76,2026-03-13,2.1.75,flags,added,-n,versions/2026-03-14_2.1.76/diff-from-2026-03-13_2.1.75.md
2026-03-20,2.1.81,2026-03-19,2.1.80,flags,added,--bare,versions/2026-03-20_2.1.81/diff-from-2026-03-19_2.1.80.md
2026-03-20,2.1.81,2026-03-19,2.1.80,commands,added,auto-mode,versions/2026-03-20_2.1.81/diff-from-2026-03-19_2.1.80.md
2026-03-31,2.1.89,2026-03-29,2.1.87,flags,added,--include-hook-events,versions/2026-03-31_2.1.89/diff-from-2026-03-29_2.1.87.md
2026-04-04,2.1.92,2026-04-02,2.1.91,flags,added,--remote-control-session-name-prefix,versions/2026-04-04_2.1.92/diff-from-2026-04-02_2.1.91.md
2026-04-09,2.1.98,2026-04-08,2.1.97,flags,added,--exclude-dynamic-system-prompt-sections,versions/2026-04-09_2.1.98/diff-from-2026-04-08_2.1.97.md
2026-04-24,2.1.120,2026-04-23,2.1.119,commands,added,ultrareview,versions/2026-04-24_2.1.120/diff-from-2026-04-23_2.1.119.md
2026-04-30,2.1.126,2026-04-29,2.1.123,commands,added,project,versions/2026-04-30_2.1.126/diff-from-2026-04-29_2.1.123.md
