timestamp,provider,model,duration_ms,ttft_ms,status,stop_reason,input_tokens,output_tokens,total_tokens,cost_usd,is_streaming,has_tools,has_thinking,preview_text
2026-05-04T05:57:22.711223,anthropic,claude-haiku-4-5-20251001,463.4683132171631,,success,max_tokens,8,1,9,1.04e-05,False,False,False,quota
2026-05-04T05:57:24.262665,anthropic,claude-haiku-4-5-20251001,2001.01900100708,546.6892719268799,success,end_turn,399,163,562,0.0009712000000000001,True,False,False,Warmup
2026-05-04T05:57:26.325183,anthropic,claude-sonnet-4-5-20250929,3488.598585128784,1705.277442932129,success,end_turn,2,80,82,0.05866725,True,True,False,hi
