timestamp,provider,model,duration_ms,ttft_ms,status,stop_reason,input_tokens,output_tokens,total_tokens,cost_usd,is_streaming,has_tools,has_thinking,preview_text
2026-05-04T07:08:58.817881,anthropic,claude-haiku-4-5-20251001,649.4934558868408,,success,max_tokens,8,1,9,1.04e-05,False,False,False,quota
2026-05-04T07:09:00.936600,anthropic,claude-opus-4-5-20251101,2371.6378211975098,2288.20538520813,success,end_turn,2,12,14,0.345405,True,True,False,hi
2026-05-04T07:09:01.360412,anthropic,claude-haiku-4-5-20251001,3104.10213470459,672.7442741394043,success,end_turn,2,193,195,0.0118896,True,True,False,Warmup
