timestamp,provider,model,duration_ms,ttft_ms,status,stop_reason,input_tokens,output_tokens,total_tokens,cost_usd,is_streaming,has_tools,has_thinking,preview_text
2026-05-04T05:43:56.965693,anthropic,claude-haiku-4-5-20251001,868.6728477478027,,success,max_tokens,8,1,9,1.04e-05,False,False,False,quota
2026-05-04T05:43:58.144399,anthropic,claude-haiku-4-5-20251001,1993.2045936584473,564.2709732055664,success,end_turn,396,141,537,0.0008807999999999999,True,False,False,Warmup
2026-05-04T05:43:59.891835,anthropic,claude-sonnet-4-5-20250929,3232.672929763794,1903.5863876342773,success,end_turn,2,75,77,0.05577225,True,True,False,hi
