timestamp,provider,model,duration_ms,ttft_ms,status,stop_reason,input_tokens,output_tokens,total_tokens,cost_usd,is_streaming,has_tools,has_thinking,preview_text
2026-05-05T10:28:59.435596,anthropic,claude-haiku-4-5-20251001,708.0345153808594,,success,max_tokens,8,1,9,1.04e-05,False,False,False,quota
2026-05-05T10:29:00.385341,anthropic,claude-haiku-4-5-20251001,1602.872371673584,595.0953960418701,success,end_turn,769,100,869,0.0010152,True,False,False,Warmup
2026-05-05T10:29:01.733489,anthropic,claude-opus-4-5-20251101,2450.983762741089,1474.6739864349365,success,end_turn,2,59,61,0.0308385,True,True,False,"List every MCP tool that is currently available to you. Print just the tool names, one per line. Do not call any of them."
